"id","groupId","resourceType","resourceId","archived"
"25734999","19448411","3","8097226","1"
"25735005","19264312","3","6144532","1"
"25753507","19098862","3","8024609","1"
"25758697","19119536","3","8027841","1"
"25815938","19651519","3","6150891","1"
"25822998","19313181","3","8047405","1"
"25836848","19169682","3","6144583","1"
"25838021","19578842","3","8113819","1"
"25839539","19033216","3","7778347","1"
"25842845","19468813","3","8027895","1"
"25844100","19560453","3","8111383","1"
"25846133","19086616","3","7991464","1"
"25847266","19612082","3","8065755","1"
"25849193","18826836","3","7962998","1"
"25849506","19210409","3","6150988","1"
"25904792","19617193","3","6142367","1"
"25904793","19597186","3","6143369","1"
"25904800","19365059","3","8085234","1"
"25913300","19366245","3","6146955","1"
"25922306","19309952","3","6148503","1"
"25927719","19084879","3","6150619","1"
"25929148","19148226","3","6144352","1"
"25951828","18408044","3","6144038","1"
"25952770","19736259","3","8074399","1"
"25964928","19249568","3","7807390","1"
"25964947","19339422","3","6143023","1"
"25966395","19516477","3","6149097","1"
"25969202","19758671","3","6145317","1"
"25973706","19062915","3","7778342","1"
"25974190","19399675","3","6148266","1"
"25979904","18371232","3","6147176","1"
"25979905","18371239","3","6147176","1"
"25979906","18371241","3","6147176","1"
"25979907","18371245","3","6147176","1"
"25979908","18371260","3","6147176","1"
"25980020","18922832","3","7826321","1"
"26019186","19804227","3","8020068","1"
"26023198","19160165","3","8047978","1"
"26030389","19198237","3","6144132","1"
"26055063","19511074","3","8092621","1"
"26055990","19262119","3","6141403","1"
"26071658","19689429","3","6145005","1"
"26079648","19321375","3","7801043","1"
"26079656","19698499","3","6144330","1"
"26082718","19749869","3","6146954","1"
"26098071","18435777","3","6141221","1"
"26099855","18912976","3","6146512","1"
"26102313","19339954","3","6148800","1"
"26104181","19549728","3","8110150","1"
"26105683","19860004","3","8149895","1"
"26106783","19247584","3","6149383","1"
"26106784","19516845","3","6148445","1"
"26106835","19682270","3","6149383","1"
"26106843","19037832","3","6145078","1"
"26108140","19447345","3","6144219","1"
"26150850","19615662","3","6143898","1"
"26154184","19352817","3","8083713","1"
"26155687","19845473","3","6146653","1"
"26171077","19208683","3","8057758","1"
"26172933","19740281","3","6145574","1"
"26176171","19502388","3","6146734","1"
"26178226","19893094","3","6150803","1"
"26182161","19461503","3","8095351","1"
"26182344","19749743","3","8135950","1"
"26203214","19556279","3","7965031","1"
"26212026","19803267","3","8123556","1"
"26221858","19250922","3","6145400","1"
"26221864","19959473","3","8163740","1"
"26221867","19959484","3","8163740","1"
"26221869","19315137","3","6146950","1"
"26222032","19239837","3","6147389","1"
"26224414","19358465","3","8084449","1"
"26224660","19073797","3","7778371","1"
"26225514","19839782","3","8147392","1"
"26226459","19577402","3","8100559","1"
"26226551","19386640","3","8089754","1"
"26227126","19359104","3","7997294","1"
"26262694","19933483","3","8160018","1"
"26263974","19859468","3","8149834","1"
"26265067","19977994","3","8166253","1"
"26266242","19931272","3","6144727","1"
"26273089","19467866","3","6150859","1"
"26285854","19892073","3","8152889","1"
"26288204","19948306","3","8162123","1"
"26288307","19948329","3","8162123","1"
"26291814","19561252","3","8029321","1"
"26303269","19765043","3","6145398","1"
"26303278","19823114","3","6143729","1"
"26304444","19798370","3","8142050","1"
"26316843","19788725","3","6146538","1"
"26319640","19615753","3","8118252","1"
"26324492","19933182","3","6146976","1"
"26327105","18797531","3","7778488","1"
"26327284","18861344","3","7803270","1"
"26329133","19519381","3","6150415","1"
"26329570","19416081","3","6149177","1"
"26330869","19413999","3","6142905","1"
"26330935","20049029","3","6150608","1"
