"id","groupId","resourceId"
"842684","26682","15976"
"842704","40207","15976"
"842725","33527","15976"
"842745","33528","15976"
"842806","40491","15976"
"842826","40490","15976"
"842885","40495","15976"
"842902","40494","15976"
"843031","40143","15976"
"843051","40145","15976"
"843071","40144","15976"
"843091","40146","15976"
"843111","40141","15976"
"843131","40147","15976"
"843152","40142","15976"
"843172","40148","15976"
"843191","26689","15976"
"843211","25929","15976"
"843232","25925","15976"
"843252","26691","15976"
"891873","26690","15976"
"843312","25927","15976"
"843332","26692","15976"
"843376","25432","15976"
"843395","25433","15976"
"843414","25434","15976"
"843451","40212","15976"
"843470","28455","15976"
"843490","38199","15976"
"843510","38200","15976"
"843530","38197","15976"
"843550","38198","15976"
"843569","28357","15976"
"843589","28456","15976"
"843608","28358","15976"
"843628","28457","15976"
"843648","33332","15976"
"843669","33333","15976"
"936078","28359","15976"
"843709","28458","15976"
"843729","40239","15976"
"843766","40240","15976"
"843786","40245","15976"
"843806","40247","15976"
"828713","32083","15976"
"828737","32084","15976"
"838451","40183","15976"
"936323","40182","15976"
"838470","40184","15976"
"838489","40185","15976"
"838509","25548","15976"
"838529","25547","15976"
"941460","25950","15976"
"941545","26712","15976"
"941610","33530","15976"
"941715","40493","15976"
"941696","40492","15976"
"831088","40159","15976"
"831168","40160","15976"
"942096","25587","15976"
"942117","25588","15976"
"942137","25589","15976"
"942234","28461","15976"
"942255","28462","15976"
"942276","28463","15976"
"942339","33337","15976"
"942380","41356","15976"
"942417","41580","15976"
"942457","40246","15976"
"836545","50238","15976"
"836565","50239","15976"
"851076","50240","15976"
"851036","50241","15976"
"857592","51199","15976"
"857514","51196","15976"
"857712","51200","15976"
"891407","51163","15976"
"891426","51164","15976"
"863396","51807","15976"
"863379","51805","15976"
"948874","51806","15976"
"948893","51808","15976"
"863448","51809","15976"
"948934","51810","15976"
"948913","51811","15976"
"868749","51813","15976"
"948838","51814","15976"
"868733","51815","15976"
"867679","52268","15976"
"867743","52269","15976"
"892922","53824","15976"
"945481","49615","15976"
"919111","56437","15976"
"919113","56438","15976"
"948819","51816","15976"
"945749","50245","15976"
"945624","57613","15976"
"945644","57614","15976"
"945667","57615","15976"
"945688","57616","15976"
"945711","57617","15976"
"945774","57619","15976"
"945815","57620","15976"
"945839","57621","15976"
"945860","57622","15976"
"945881","57623","15976"
"967006","57820","15976"
"948978","57821","15976"
"966054","58591","15976"
"966075","58592","15976"
"966096","58593","15976"
"966117","58594","15976"
"966188","58597","15976"
"966209","58598","15976"
"966272","58601","15976"
"966293","58602","15976"
"966357","58605","15976"
"966378","58606","15976"
"976435","59072","15976"
"976463","59073","15976"
"976687","59102","15976"
"976658","59103","15976"
