cuein;cueout;resource;visitor;note
28-01-20 13:15;28-01-20 14:15;DANA;16105;
28-01-20 13:15;28-01-20 14:00;LEVP;5170;
28-01-20 13:45;28-01-20 14:45;COL;16193;
28-01-20 14:00;28-01-20 14:45;LEVP;16253;
28-01-20 14:15;28-01-20 15:00;DANA;15714;
28-01-20 14:45;28-01-20 15:15;COL;16042;
28-01-20 14:45;28-01-20 15:00;LEVP;16239;
28-01-20 15:00;28-01-20 15:30;LEVP;12192;
28-01-20 15:00;28-01-20 15:30;DANA;4149;
28-01-20 15:15;28-01-20 15:45;COL;11229;
28-01-20 15:30;28-01-20 15:45;LEVP;9650;
28-01-20 15:30;28-01-20 16:15;DANA;15194;
28-01-20 15:45;28-01-20 16:00;COL;11047;
28-01-20 15:45;28-01-20 16:15;LEVP;13425;
28-01-20 16:00;28-01-20 16:30;COL;8028;
28-01-20 16:15;28-01-20 17:00;DANA;16219;
28-01-20 16:15;28-01-20 16:45;LEVP;10696;
28-01-20 16:30;28-01-20 16:45;COL;14864;
28-01-20 16:45;28-01-20 17:45;LEVP;4689;
28-01-20 16:45;28-01-20 17:00;COL;15097;
28-01-20 17:00;28-01-20 18:15;DANA;13780;
28-01-20 17:00;28-01-20 17:15;COL;14769;
28-01-20 17:15;28-01-20 17:30;COL;14595;
28-01-20 17:45;28-01-20 18:00;LEVP;0;ABSCENCE
29-01-20 09:00;29-01-20 09:30;LEVP;5699;
29-01-20 09:00;29-01-20 09:30;PAA;13557;
29-01-20 09:30;29-01-20 10:00;LEVP;12387;
29-01-20 09:30;29-01-20 10:00;PAA;14365;
29-01-20 10:00;29-01-20 11:00;PAA;16084;
29-01-20 10:00;29-01-20 10:30;LEVP;16145;
29-01-20 10:30;29-01-20 12:30;LEVP;11787;
29-01-20 11:00;29-01-20 11:30;PAA;16179;
29-01-20 11:30;29-01-20 12:00;PAA;14511;
29-01-20 12:00;29-01-20 12:15;PAA;14512;
29-01-20 12:30;29-01-20 13:15;LEVP;0;ABSCENCE
29-01-20 13:15;29-01-20 13:30;LEVP;15996;
29-01-20 13:30;29-01-20 13:45;LEVP;15995;
29-01-20 13:30;29-01-20 14:00;PAA;15115;
29-01-20 13:45;29-01-20 14:00;LEVP;15994;
29-01-20 14:00;29-01-20 14:30;PAA;14920;
29-01-20 14:00;29-01-20 14:15;LEVP;16194;
29-01-20 14:15;29-01-20 14:22;LEVP;12304;
29-01-20 14:30;29-01-20 15:00;PAA;15005;
29-01-20 14:30;29-01-20 15:00;LEVP;16225;
29-01-20 15:00;29-01-20 15:30;PAA;9277;
29-01-20 15:00;29-01-20 15:15;LEVP;13132;
29-01-20 15:15;29-01-20 15:30;LEVP;0;ABSCENCE
29-01-20 15:30;29-01-20 16:00;LEVP;11896;
29-01-20 15:30;29-01-20 16:00;PAA;9384;
29-01-20 16:00;29-01-20 16:30;PAA;14843;
29-01-20 16:00;29-01-20 16:45;LEVP;14141;
29-01-20 16:30;29-01-20 17:00;PAA;9627;
29-01-20 16:45;29-01-20 17:15;LEVP;15489;
29-01-20 17:00;29-01-20 17:30;PAA;10150;
29-01-20 17:15;29-01-20 17:45;LEVP;16024;
29-01-20 17:45;29-01-20 18:00;LEVP;0;ABSCENCE
30-01-20 08:45;30-01-20 09:15;DJP;16196;
30-01-20 09:00;30-01-20 09:30;LEVP;6095;
30-01-20 09:15;30-01-20 09:45;DJP;15388;
30-01-20 09:30;30-01-20 10:15;LEVP;16060;
30-01-20 09:45;30-01-20 10:15;DJP;15071;
30-01-20 10:15;30-01-20 10:45;DJP;13385;
30-01-20 10:15;30-01-20 10:30;LEVP;0;ABSCENCE
30-01-20 10:30;30-01-20 12:00;LEVP;5557;
30-01-20 10:45;30-01-20 11:00;DJP;15449;
30-01-20 11:00;30-01-20 11:30;DJP;1725;
30-01-20 11:30;30-01-20 12:00;DJP;13761;
30-01-20 13:00;30-01-20 13:15;LEVP;0;ABSCENCE
30-01-20 13:15;30-01-20 13:45;LEVP;13259;
30-01-20 13:30;30-01-20 14:00;DJP;0;délégué
30-01-20 13:45;30-01-20 14:30;LEVP;5267;
30-01-20 14:00;30-01-20 14:30;DJP;15830;
30-01-20 14:30;30-01-20 15:30;DJP;13412;
30-01-20 14:30;30-01-20 15:15;LEVP;5681;
30-01-20 15:15;30-01-20 15:45;LEVP;5084;
30-01-20 15:30;30-01-20 16:00;DJP;16205;
30-01-20 15:45;30-01-20 16:00;LEVP;15160;
30-01-20 16:00;30-01-20 16:30;LEVP;14978;
30-01-20 16:00;30-01-20 16:30;DJP;16216;
30-01-20 16:30;30-01-20 17:15;DJP;6906;
30-01-20 16:30;30-01-20 17:15;LEVP;16017;
30-01-20 17:15;30-01-20 17:30;LEVP;0;ABSCENCE
31-01-20 08:45;31-01-20 09:30;DJP;0;ABSCENCE
31-01-20 09:00;31-01-20 09:45;DJP;13220;
31-01-20 09:00;31-01-20 17:00;LEVP;0;ABSCENCE
31-01-20 09:00;31-01-20 10:00;DANA;14051;
31-01-20 09:15;31-01-20 10:00;COL;16215;
31-01-20 09:45;31-01-20 10:30;DJP;16190;
31-01-20 10:00;31-01-20 10:30;COL;13439;
31-01-20 10:00;31-01-20 10:45;DANA;10347;
31-01-20 10:30;31-01-20 11:00;COL;11471;
31-01-20 10:30;31-01-20 11:15;DJP;9524;
31-01-20 10:45;31-01-20 11:15;DANA;15754;
31-01-20 11:00;31-01-20 11:45;COL;16096;
31-01-20 11:00;31-01-20 11:30;DJP;10553;
31-01-20 11:15;31-01-20 12:00;DANA;14465;
31-01-20 11:30;31-01-20 12:00;DJP;14736;
31-01-20 12:00;31-01-20 12:15;COL;11106;
31-01-20 12:15;31-01-20 12:30;COL;11107;
31-01-20 12:30;31-01-20 12:45;COL;11312;
31-01-20 12:45;31-01-20 13:15;COL;14775;
31-01-20 13:00;31-01-20 13:30;DANA;16307;
31-01-20 13:30;31-01-20 14:30;DANA;13781;
31-01-20 13:45;31-01-20 14:00;COL;14083;
31-01-20 14:00;31-01-20 15:00;COL;12354;
31-01-20 14:30;31-01-20 15:15;DANA;10127;
31-01-20 14:45;31-01-20 15:30;COL;6706;
31-01-20 15:15;31-01-20 16:00;DANA;14655;
31-01-20 15:30;31-01-20 16:00;COL;15986;
31-01-20 16:00;31-01-20 16:45;DANA;14996;
31-01-20 16:00;31-01-20 16:15;COL;16256;
31-01-20 16:15;31-01-20 16:45;COL;16158;
31-01-20 16:45;31-01-20 17:30;COL;13289;
31-01-20 16:45;31-01-20 17:30;DANA;6022;
03-02-20 08:45;03-02-20 09:00;COL;0;ABSCENCE
03-02-20 09:00;03-02-20 09:30;LEVP;5690;
03-02-20 09:00;03-02-20 10:15;COL;12291;
03-02-20 09:30;03-02-20 10:15;LEVP;11309;
03-02-20 10:15;03-02-20 11:00;COL;15147;
03-02-20 10:15;03-02-20 11:00;LEVP;16250;
03-02-20 11:00;03-02-20 12:00;LEVP;16259;
03-02-20 11:00;03-02-20 22:45;COL;0;Congés annuels
03-02-20 12:00;03-02-20 12:15;LEVP;0;ABSCENCE
03-02-20 13:00;03-02-20 13:30;LEVP;16284;
03-02-20 13:30;03-02-20 14:00;LEVP;15866;
03-02-20 14:00;03-02-20 14:30;DJP;12544;
03-02-20 14:00;03-02-20 15:00;LEVP;16171;
03-02-20 14:30;03-02-20 14:45;DJP;14736;
03-02-20 14:45;03-02-20 15:00;DJP;14490;
03-02-20 15:00;03-02-20 15:30;DJP;3654;
03-02-20 15:00;03-02-20 15:30;LEVP;5287;
03-02-20 15:30;03-02-20 16:15;LEVP;6975;
03-02-20 15:30;03-02-20 16:00;DJP;11000;
03-02-20 16:00;03-02-20 16:45;DJP;16138;
03-02-20 16:15;03-02-20 16:45;LEVP;14584;
03-02-20 16:30;03-02-20 17:00;DJP;10553;
03-02-20 16:45;03-02-20 17:15;LEVP;12144;
03-02-20 16:45;03-02-20 17:15;DJP;13708;
03-02-20 17:15;03-02-20 17:45;LEVP;12829;
03-02-20 17:15;03-02-20 17:45;DJP;14992;
03-02-20 17:45;03-02-20 18:00;LEVP;0;ABSCENCE
04-02-20 08:30;04-02-20 09:00;DANA;15483;
04-02-20 09:00;04-02-20 09:30;DANA;7741;
04-02-20 09:00;04-02-20 09:15;PAA;14641;
04-02-20 09:15;04-02-20 09:30;PAA;15569;
04-02-20 09:15;04-02-20 10:00;COL;12164;
04-02-20 09:30;04-02-20 10:00;DANA;16220;
04-02-20 09:30;04-02-20 10:00;PAA;12925;
04-02-20 09:45;04-02-20 10:30;COL;15176;
04-02-20 10:00;04-02-20 10:37;DANA;7767;
04-02-20 10:00;04-02-20 11:00;PAA;15954;
04-02-20 10:30;04-02-20 11:15;COL;14681;
04-02-20 10:30;04-02-20 11:15;DANA;6304;
04-02-20 11:00;04-02-20 11:15;PAA;13971;
04-02-20 11:15;04-02-20 12:00;COL;14961;
04-02-20 11:15;04-02-20 11:45;DANA;15714;
04-02-20 11:45;04-02-20 12:30;PAA;13989;
04-02-20 12:00;04-02-20 12:30;COL;13712;
04-02-20 12:30;04-02-20 13:15;COL;15114;
04-02-20 12:30;04-02-20 12:45;PAA;15201;
04-02-20 12:45;04-02-20 13:00;PAA;13522;
04-02-20 13:15;04-02-20 14:00;DANA;16106;
04-02-20 13:45;04-02-20 14:15;COL;14749;
04-02-20 14:00;04-02-20 14:30;DANA;10290;
04-02-20 14:15;04-02-20 14:45;COL;16193;
04-02-20 14:30;04-02-20 15:15;DANA;11698;
04-02-20 14:45;04-02-20 15:30;COL;16042;
04-02-20 15:15;04-02-20 16:00;DANA;13878;
04-02-20 15:45;04-02-20 16:00;COL;15921;
04-02-20 16:00;04-02-20 16:15;COL;12105;
04-02-20 16:00;04-02-20 16:45;DANA;12234;
04-02-20 16:15;04-02-20 16:45;COL;16158;
04-02-20 16:45;04-02-20 17:00;DANA;5953;
04-02-20 16:45;04-02-20 17:30;COL;16015;
04-02-20 17:00;04-02-20 17:15;DANA;7565;
04-02-20 17:15;04-02-20 18:00;DANA;16131;
05-02-20 09:00;05-02-20 09:30;LEVP;16272;
05-02-20 09:00;05-02-20 09:30;PAA;16088;
05-02-20 09:30;05-02-20 10:00;LEVP;16264;
05-02-20 09:30;05-02-20 10:00;PAA;14919;
05-02-20 10:00;05-02-20 10:30;PAA;11324;
05-02-20 10:00;05-02-20 10:15;LEVP;15219;
05-02-20 10:15;05-02-20 10:30;LEVP;0;ABSCENCE
05-02-20 10:30;05-02-20 12:00;LEVP;11787;
05-02-20 10:30;05-02-20 11:00;PAA;15219;
05-02-20 11:00;05-02-20 12:00;PAA;15965;
05-02-20 12:00;05-02-20 12:15;PAA;14539;
05-02-20 13:00;05-02-20 13:30;LEVP;0;ABSCENCE
05-02-20 13:30;05-02-20 14:00;PAA;13702;
05-02-20 13:30;05-02-20 13:37;LEVP;14858;
05-02-20 13:45;05-02-20 14:15;LEVP;12802;
05-02-20 14:15;05-02-20 14:30;LEVP;12932;
05-02-20 14:30;05-02-20 14:45;LEVP;13477;
05-02-20 14:30;05-02-20 15:00;PAA;13890;
05-02-20 14:45;05-02-20 15:00;LEVP;15661;
05-02-20 15:00;05-02-20 15:15;LEVP;12959;
05-02-20 15:00;05-02-20 15:30;PAA;14422;
05-02-20 15:15;05-02-20 15:30;LEVP;12565;
05-02-20 15:30;05-02-20 15:45;LEVP;0;ABSCENCE
05-02-20 15:30;05-02-20 15:45;PAA;14423;
05-02-20 15:45;05-02-20 16:00;LEVP;16043;
05-02-20 16:00;05-02-20 16:15;LEVP;15845;
05-02-20 16:00;05-02-20 16:30;PAA;14458;
05-02-20 16:15;05-02-20 16:30;LEVP;15846;
05-02-20 16:30;05-02-20 16:45;LEVP;6667;
05-02-20 16:30;05-02-20 17:00;PAA;14665;
05-02-20 16:45;05-02-20 16:52;LEVP;16165;
05-02-20 17:00;05-02-20 17:15;LEVP;16166;
05-02-20 17:00;05-02-20 17:30;PAA;15261;
05-02-20 17:15;05-02-20 17:45;LEVP;10652;
05-02-20 17:45;05-02-20 18:00;LEVP;0;ABSCENCE
06-02-20 08:45;06-02-20 09:30;DJP;16195;
06-02-20 09:00;06-02-20 09:30;LEVP;16097;
06-02-20 09:30;06-02-20 10:00;DJP;10108;
06-02-20 09:30;06-02-20 09:45;LEVP;15734;
06-02-20 09:45;06-02-20 10:00;LEVP;0;ABSCENCE
06-02-20 10:00;06-02-20 10:30;DJP;15830;
06-02-20 10:00;06-02-20 10:30;LEVP;3595;
06-02-20 10:30;06-02-20 11:00;DJP;14035;
06-02-20 10:30;06-02-20 11:30;LEVP;5628;
06-02-20 11:00;06-02-20 11:30;DJP;10526;
06-02-20 11:30;06-02-20 12:00;DJP;16176;
06-02-20 11:30;06-02-20 12:00;LEVP;518;
06-02-20 12:00;06-02-20 14:00;DJP;0;stop
06-02-20 13:00;06-02-20 13:45;LEVP;15971;
06-02-20 13:15;06-02-20 14:00;DJP;427;
06-02-20 13:45;06-02-20 14:45;LEVP;15701;
06-02-20 14:00;06-02-20 14:45;DJP;13412;
06-02-20 14:30;06-02-20 15:30;DJP;16147;
06-02-20 14:45;06-02-20 15:30;LEVP;12995;
06-02-20 15:30;06-02-20 16:00;DJP;16205;
06-02-20 15:30;06-02-20 16:30;LEVP;16265;
06-02-20 16:00;06-02-20 16:30;DJP;12334;
06-02-20 16:30;06-02-20 17:15;LEVP;10883;
06-02-20 16:30;06-02-20 17:00;DJP;14375;
06-02-20 17:00;06-02-20 17:30;DJP;15160;
06-02-20 17:15;06-02-20 17:30;LEVP;0;ABSCENCE
07-02-20 08:45;07-02-20 09:15;DJP;13220;
07-02-20 09:00;07-02-20 17:00;LEVP;0;ABSCENCE
07-02-20 09:00;07-02-20 12:00;DANA;0;ABSCENCE
07-02-20 09:15;07-02-20 10:00;DJP;16190;
07-02-20 09:15;07-02-20 09:45;COL;12078;
07-02-20 09:45;07-02-20 10:00;COL;16302;
07-02-20 10:00;07-02-20 10:30;COL;15045;
07-02-20 10:00;07-02-20 11:00;DJP;15071;
07-02-20 10:30;07-02-20 10:45;COL;11471;
07-02-20 10:45;07-02-20 11:30;COL;15755;
07-02-20 11:00;07-02-20 11:30;DJP;9524;
07-02-20 11:30;07-02-20 12:00;DJP;2555;
07-02-20 11:30;07-02-20 12:00;COL;12011;
07-02-20 12:00;07-02-20 12:45;COL;15575;
07-02-20 12:00;07-02-20 12:30;DJP;10553;
07-02-20 12:45;07-02-20 13:15;COL;14775;
07-02-20 12:45;07-02-20 13:30;DANA;7572;
07-02-20 13:30;07-02-20 14:15;DANA;16160;
07-02-20 14:15;07-02-20 15:15;DANA;12669;
07-02-20 14:30;07-02-20 15:00;COL;14044;
07-02-20 15:00;07-02-20 15:30;COL;13782;
07-02-20 15:15;07-02-20 16:00;DANA;6620;
07-02-20 15:30;07-02-20 16:00;COL;15986;
07-02-20 16:00;07-02-20 16:30;DANA;6222;
07-02-20 16:00;07-02-20 16:15;COL;15801;
07-02-20 16:15;07-02-20 16:30;COL;12707;
07-02-20 16:30;07-02-20 17:15;DANA;5942;
07-02-20 16:30;07-02-20 17:15;COL;15674;
07-02-20 17:15;07-02-20 17:30;COL;6429;
10-02-20 09:00;10-02-20 09:45;LEVP;16183;
10-02-20 09:45;10-02-20 10:30;LEVP;16264;
10-02-20 10:30;10-02-20 11:15;LEVP;15970;
10-02-20 11:15;10-02-20 11:45;LEVP;14238;
10-02-20 11:45;10-02-20 12:15;LEVP;5680;
10-02-20 13:00;10-02-20 13:15;LEVP;0;ABSCENCE
10-02-20 13:15;10-02-20 13:45;LEVP;16275;
10-02-20 13:45;10-02-20 14:45;LEVP;6770;
10-02-20 14:00;10-02-20 14:30;DJP;15998;
10-02-20 14:30;10-02-20 15:00;DJP;10984;
10-02-20 14:45;10-02-20 15:30;LEVP;16296;
10-02-20 15:00;10-02-20 15:30;DJP;11000;
10-02-20 15:30;10-02-20 16:30;LEVP;9886;
10-02-20 15:30;10-02-20 16:30;DJP;15871;
10-02-20 16:30;10-02-20 17:15;LEVP;14674;
10-02-20 16:30;10-02-20 17:00;DJP;15742;
10-02-20 17:00;10-02-20 17:15;DJP;14621;
10-02-20 17:15;10-02-20 18:00;LEVP;14998;
10-02-20 17:15;10-02-20 17:45;DJP;16204;
11-02-20 08:30;11-02-20 09:15;DANA;16270;
11-02-20 09:00;11-02-20 09:15;PAA;13949;
11-02-20 09:15;11-02-20 10:00;COL;12275;
11-02-20 09:15;11-02-20 09:30;PAA;12895;
11-02-20 09:15;11-02-20 10:00;DANA;6758;
11-02-20 09:30;11-02-20 09:45;PAA;13723;
11-02-20 09:45;11-02-20 10:15;PAA;10705;
11-02-20 10:00;11-02-20 11:30;COL;14696;
11-02-20 10:00;11-02-20 11:30;DANA;15714;
11-02-20 10:15;11-02-20 10:45;PAA;16187;
11-02-20 10:45;11-02-20 11:00;PAA;14358;
11-02-20 11:00;11-02-20 11:30;PAA;14190;
11-02-20 11:30;11-02-20 12:15;COL;15512;
11-02-20 11:30;11-02-20 12:15;DANA;13266;
11-02-20 11:30;11-02-20 12:00;PAA;15924;
11-02-20 12:00;11-02-20 12:15;PAA;13971;
11-02-20 12:00;11-02-20 12:45;DANA;5861;
